2754	1999	1555	778	1264	1948	1257	1934	2203	2016	
2203	2016	892	2586	1727	2013	347	2321	2076	1420	
2076	1420	1821	1626	1384	1151	1860	2504	1877	1456	
1877	1456	1456	2174	725	2217	1705	2150	771	1386	
771	1386	1344	1467	1069	946	425	2589	772	1850	
772	1850	1439	455	1019	2278	593	1364	1628	1870	
1628	1870	1956	946	1424	809	1897	760	2164	1263	
2164	1263	804	1151	689	2428	1076	2214	124	661	
1372	1261	749	62	794	1084	1094	858	852	1230	
852	1230	668	1227	1173	705	287	1171	1079	1340	
1079	1340	1048	1178	703	488	792	1230	552	1274	
552	1274	899	891	257	1049	735	1388	257	16	
257	16	211	1220	451	719	94	1138	130	794	
130	794	1320	191	511	1251	402	764	320	598	
320	598	985	863	655	661	725	65	1240	417	
1240	417	623	787	159	1482	145	1497	90	545	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
1171	1983	589	1763	1840	945	1073	681	1041	1463	
1041	1463	737	703	1476	2428	2453	913	2676	1076	
2676	1076	2421	1216	477	2439	2195	916	1844	571	
1844	571	1290	1929	2027	475	2395	457	1259	1589	
1259	1589	1718	1729	1260	1582	869	1428	1523	1839	
1523	1839	1771	1450	740	2489	1329	2559	1879	1138	
1879	1138	462	1301	1919	1639	846	1393	1319	2150	
1319	2150	1177	466	2028	1141	1645	1580	1746	167	
